date,season,week,home_team,away_team,home_score,away_score,neutral_site,is_playoff,home_rest_days,away_rest_days,hfa_applied,home_rating_pre,away_rating_pre,home_rating_pregame,away_rating_pregame,E_home_elo,E_home_mkt,E_home,E_away,mov,K_base,K_playoff_mult,mov_mult,K_adj,home_rating_post,away_rating_post
2011-09-08,2011,1,GB,NO,42,34,0,0,7,7,40.0,1500.0,1500.0,1540.0,1500.0,0.5573,0.697,0.6062,0.3938,8,20.0,1.0,2.158,43.1598,1517.0,1483.0
2011-09-11,2011,1,BAL,PIT,35,7,0,0,7,7,40.0,1500.0,1500.0,1540.0,1500.0,0.5573,0.542,0.5519,0.4481,28,20.0,1.0,3.3072,66.1433,1529.64,1470.36
2011-09-11,2011,1,CHI,ATL,30,12,0,0,7,7,40.0,1500.0,1500.0,1540.0,1500.0,0.5573,0.476,0.5288,0.4712,18,20.0,1.0,2.8919,57.8372,1527.25,1472.75
2011-09-11,2011,1,CLE,CIN,17,27,0,0,7,7,40.0,1500.0,1500.0,1540.0,1500.0,0.5573,0.7382,0.6206,0.3794,10,20.0,1.0,2.3551,47.1015,1470.77,1529.23
2011-09-11,2011,1,HOU,IND,34,7,0,0,7,7,40.0,1500.0,1500.0,1540.0,1500.0,0.5573,0.7919,0.6394,0.3606,27,20.0,1.0,3.2727,65.454,1523.6,1476.4
2011-09-11,2011,1,JAX,TEN,16,14,0,0,7,7,40.0,1500.0,1500.0,1540.0,1500.0,0.5573,0.493,0.5348,0.4652,2,20.0,1.0,1.079,21.5799,1510.04,1489.96
2011-09-11,2011,1,KC,BUF,7,41,0,0,7,7,40.0,1500.0,1500.0,1540.0,1500.0,0.5573,0.6422,0.587,0.413,34,20.0,1.0,3.4919,69.8372,1459.0,1541.0
2011-09-11,2011,1,STL,PHI,13,31,0,0,7,7,40.0,1500.0,1500.0,1540.0,1500.0,0.5573,0.3488,0.4843,0.5157,18,20.0,1.0,2.8919,57.8372,1471.99,1528.01
2011-09-11,2011,1,TB,DET,20,27,0,0,7,7,40.0,1500.0,1500.0,1540.0,1500.0,0.5573,0.542,0.5519,0.4481,7,20.0,1.0,2.0423,40.8462,1477.46,1522.54
2011-09-11,2011,1,ARI,CAR,28,21,0,0,7,7,40.0,1500.0,1500.0,1540.0,1500.0,0.5573,0.7333,0.6189,0.3811,7,20.0,1.0,2.0423,40.8462,1515.57,1484.43
2011-09-11,2011,1,SD,MIN,24,17,0,0,7,7,40.0,1500.0,1500.0,1540.0,1500.0,0.5573,0.7996,0.6421,0.3579,7,20.0,1.0,2.0423,40.8462,1514.62,1485.38
2011-09-11,2011,1,SF,SEA,33,17,0,0,7,7,40.0,1500.0,1500.0,1540.0,1500.0,0.5573,0.6882,0.6031,0.3969,16,20.0,1.0,2.7826,55.6524,1522.09,1477.91
2011-09-11,2011,1,WAS,NYG,28,14,0,0,7,7,40.0,1500.0,1500.0,1540.0,1500.0,0.5573,0.4861,0.5324,0.4676,14,20.0,1.0,2.6597,53.1938,1524.87,1475.13
2011-09-11,2011,1,NYJ,DAL,27,24,0,0,7,7,40.0,1500.0,1500.0,1540.0,1500.0,0.5573,0.7121,0.6115,0.3885,3,20.0,1.0,1.3615,27.2308,1510.58,1489.42
2011-09-12,2011,1,MIA,NE,24,38,0,0,7,7,40.0,1500.0,1500.0,1540.0,1500.0,0.5573,0.2509,0.4501,0.5499,14,20.0,1.0,2.6597,53.1938,1476.06,1523.94
2011-09-12,2011,1,DEN,OAK,20,23,0,0,7,7,40.0,1500.0,1500.0,1540.0,1500.0,0.5573,0.6143,0.5773,0.4227,3,20.0,1.0,1.3615,27.2308,1484.28,1515.72
2011-09-18,2011,2,BUF,OAK,38,35,0,0,7,6,40.0,1541.0,1515.72,1581.0,1515.72,0.5929,0.6397,0.6093,0.3907,3,20.0,1.0,1.3463,26.9269,1551.52,1505.2
2011-09-18,2011,2,CAR,GB,23,30,0,0,7,10,40.0,1484.43,1517.0,1524.43,1542.0,0.4747,0.1765,0.3704,0.6296,7,20.0,1.0,2.0724,41.4487,1469.08,1532.35
2011-09-18,2011,2,DET,KC,48,3,0,0,7,7,40.0,1522.54,1459.0,1562.54,1459.0,0.6447,0.7465,0.6803,0.3197,45,20.0,1.0,3.6565,73.131,1545.92,1435.63
2011-09-18,2011,2,IND,CLE,19,27,0,0,7,7,40.0,1476.4,1470.77,1516.4,1470.77,0.5653,0.4673,0.531,0.469,8,20.0,1.0,2.1526,43.0515,1453.54,1493.63
2011-09-18,2011,2,MIN,TB,20,24,0,0,7,7,40.0,1485.38,1477.46,1525.38,1477.46,0.5685,0.5162,0.5502,0.4498,4,20.0,1.0,1.5751,31.5025,1468.05,1494.79
2011-09-18,2011,2,NO,CHI,30,13,0,0,10,7,40.0,1483.0,1527.25,1548.0,1527.25,0.5298,0.6788,0.582,0.418,17,20.0,1.0,2.8848,57.6961,1507.12,1503.13
2011-09-18,2011,2,NYJ,JAX,32,3,0,0,7,7,40.0,1510.58,1510.04,1550.58,1510.04,0.5581,0.7729,0.6333,0.3667,29,20.0,1.0,3.3397,66.7931,1535.07,1485.54
2011-09-18,2011,2,PIT,SEA,24,0,0,0,7,7,40.0,1470.36,1477.91,1510.36,1477.91,0.5466,0.8613,0.6567,0.3433,24,20.0,1.0,3.1721,63.4417,1492.14,1456.13
2011-09-18,2011,2,TEN,BAL,26,13,0,0,7,7,40.0,1489.96,1529.64,1529.96,1529.64,0.5005,0.309,0.4335,0.5665,13,20.0,1.0,2.6387,52.7733,1519.86,1499.74
2011-09-18,2011,2,WAS,ARI,22,21,0,0,7,7,40.0,1524.87,1515.57,1564.87,1515.57,0.5705,0.6666,0.6041,0.3959,1,20.0,1.0,0.678,13.559,1530.24,1510.2
2011-09-18,2011,2,SF,DAL,24,27,0,0,7,7,40.0,1522.09,1489.42,1562.09,1489.42,0.6031,0.3891,0.5282,0.4718,3,20.0,1.0,1.342,26.8394,1507.91,1503.6
2011-09-18,2011,2,DEN,CIN,24,22,0,0,6,7,40.0,1484.28,1529.23,1524.28,1529.23,0.4929,0.6143,0.5354,0.4646,2,20.0,1.0,1.0961,21.9229,1494.47,1519.05
2011-09-18,2011,2,MIA,HOU,13,23,0,0,6,7,40.0,1476.06,1523.6,1516.06,1523.6,0.4891,0.4122,0.4622,0.5378,10,20.0,1.0,2.3897,47.794,1453.97,1545.69
2011-09-18,2011,2,NE,SD,35,21,0,0,6,7,40.0,1523.94,1514.62,1563.94,1514.62,0.5705,0.7161,0.6215,0.3785,14,20.0,1.0,2.6487,52.9734,1543.99,1494.57
2011-09-18,2011,2,ATL,PHI,35,31,0,0,7,7,40.0,1472.75,1528.01,1512.75,1528.01,0.478,0.4433,0.4659,0.5341,4,20.0,1.0,1.5983,31.967,1489.82,1510.94
2011-09-19,2011,2,NYG,STL,28,16,0,0,8,8,40.0,1475.13,1471.99,1540.13,1496.99,0.5618,0.7382,0.6235,0.3765,12,20.0,1.0,2.5156,50.3124,1494.07,1453.05
2011-09-25,2011,3,BUF,NE,34,31,0,0,7,7,40.0,1551.52,1543.99,1591.52,1543.99,0.568,0.2618,0.4608,0.5392,3,20.0,1.0,1.357,27.1396,1566.15,1529.36
2011-09-25,2011,3,CAR,JAX,16,10,0,0,7,7,40.0,1469.08,1485.54,1509.08,1485.54,0.5338,0.6143,0.562,0.438,6,20.0,1.0,1.9253,38.5062,1485.95,1468.68
2011-09-25,2011,3,CIN,SF,8,13,0,0,7,7,40.0,1519.05,1507.91,1559.05,1507.91,0.5731,0.5173,0.5535,0.4465,5,20.0,1.0,1.7511,35.0212,1499.66,1527.3
2011-09-25,2011,3,CLE,MIA,17,16,0,0,7,7,40.0,1493.63,1453.97,1533.63,1453.97,0.6127,0.458,0.5585,0.4415,1,20.0,1.0,0.6689,13.3785,1499.53,1448.06
2011-09-25,2011,3,MIN,DET,23,26,0,0,7,7,40.0,1468.05,1545.92,1508.05,1545.92,0.4457,0.3998,0.4296,0.5704,3,20.0,1.0,1.3628,27.2567,1456.34,1557.63
2011-09-25,2011,3,NO,HOU,40,33,0,0,7,7,40.0,1507.12,1545.69,1547.12,1545.69,0.5021,0.6201,0.5434,0.4566,7,20.0,1.0,2.0781,41.5618,1526.1,1526.71
2011-09-25,2011,3,PHI,NYG,16,29,0,0,7,6,40.0,1510.94,1494.07,1550.94,1494.07,0.5811,0.7766,0.6495,0.3505,13,20.0,1.0,2.5726,51.4511,1477.52,1527.49
2011-09-25,2011,3,TEN,DEN,17,14,0,0,7,7,40.0,1519.86,1494.47,1559.86,1494.47,0.593,0.7382,0.6438,0.3562,3,20.0,1.0,1.3463,26.9255,1529.45,1484.88
2011-09-25,2011,3,OAK,NYJ,34,24,0,0,7,7,40.0,1505.2,1535.07,1545.2,1535.07,0.5146,0.4433,0.4896,0.5104,10,20.0,1.0,2.3869,47.7382,1529.56,1510.71
2011-09-25,2011,3,SD,KC,20,17,0,0,7,7,40.0,1494.57,1435.63,1534.57,1435.63,0.6387,0.8892,0.7263,0.2737,3,20.0,1.0,1.3266,26.5326,1501.83,1428.37
2011-09-25,2011,3,STL,BAL,7,37,0,0,6,7,40.0,1453.05,1499.74,1493.05,1499.74,0.4904,0.3109,0.4276,0.5724,30,20.0,1.0,3.4236,68.4715,1423.77,1529.01
2011-09-25,2011,3,CHI,GB,17,27,0,0,7,7,40.0,1503.13,1532.35,1543.13,1532.35,0.5155,0.3389,0.4537,0.5463,10,20.0,1.0,2.3862,47.724,1481.48,1554.0
2011-09-25,2011,3,SEA,ARI,13,10,0,0,7,7,40.0,1456.13,1510.2,1496.13,1510.2,0.4798,0.4067,0.4542,0.5458,3,20.0,1.0,1.3775,27.5498,1471.17,1495.16
2011-09-25,2011,3,TB,ATL,16,13,0,0,7,7,40.0,1494.79,1489.82,1534.79,1489.82,0.5644,0.5173,0.5479,0.4521,3,20.0,1.0,1.3585,27.1706,1507.07,1477.54
2011-09-25,2011,3,IND,PIT,20,23,0,0,7,7,40.0,1453.54,1492.14,1493.54,1492.14,0.502,0.1663,0.3845,0.6155,3,20.0,1.0,1.3854,27.7083,1442.88,1502.8
2011-09-26,2011,3,DAL,WAS,18,16,0,0,8,8,40.0,1503.6,1530.24,1568.6,1555.24,0.5192,0.6215,0.555,0.445,2,20.0,1.0,1.092,21.8397,1513.32,1520.52
2011-10-02,2011,4,CHI,CAR,34,29,0,0,7,7,40.0,1481.48,1485.95,1521.48,1485.95,0.551,0.7319,0.6143,0.3857,5,20.0,1.0,1.7633,35.2656,1495.08,1472.35
2011-10-02,2011,4,CIN,BUF,23,20,0,0,7,7,40.0,1499.66,1566.15,1539.66,1566.15,0.462,0.4173,0.4463,0.5537,3,20.0,1.0,1.3698,27.396,1514.83,1550.98
2011-10-02,2011,4,CLE,TEN,13,31,0,0,7,7,40.0,1499.53,1529.45,1539.53,1529.45,0.5145,0.552,0.5276,0.4724,18,20.0,1.0,2.931,58.6201,1468.6,1560.38
2011-10-02,2011,4,DAL,DET,30,34,0,0,6,7,40.0,1513.32,1557.63,1553.32,1557.63,0.4938,0.5567,0.5158,0.4842,4,20.0,1.0,1.6063,32.1257,1496.75,1574.2
2011-10-02,2011,4,HOU,PIT,17,10,0,0,7,7,40.0,1526.71,1502.8,1566.71,1502.8,0.591,0.6512,0.612,0.388,7,20.0,1.0,2.0207,40.4146,1542.39,1487.12
2011-10-02,2011,4,JAX,NO,10,23,0,0,7,7,40.0,1468.68,1526.1,1508.68,1526.1,0.4749,0.2292,0.3889,0.6111,13,20.0,1.0,2.6183,52.3664,1448.31,1546.47
2011-10-02,2011,4,KC,MIN,22,17,0,0,7,7,40.0,1428.37,1456.34,1468.37,1456.34,0.5173,0.4139,0.4811,0.5189,5,20.0,1.0,1.782,35.6403,1446.86,1437.84
2011-10-02,2011,4,PHI,SF,23,24,0,0,7,7,40.0,1477.52,1527.3,1517.52,1527.3,0.4859,0.8134,0.6005,0.3995,1,20.0,1.0,0.6901,13.8016,1469.23,1535.59
2011-10-02,2011,4,STL,WAS,10,17,0,0,7,6,40.0,1423.77,1520.52,1463.77,1520.52,0.419,0.4225,0.4202,0.5798,7,20.0,1.0,2.0271,40.5429,1406.73,1537.56
2011-10-02,2011,4,ARI,NYG,27,31,0,0,7,7,40.0,1495.16,1527.49,1535.16,1527.49,0.511,0.4954,0.5056,0.4944,4,20.0,1.0,1.6038,32.0768,1478.95,1543.7
2011-10-02,2011,4,SEA,ATL,28,30,0,0,7,7,40.0,1471.17,1477.54,1511.17,1477.54,0.5482,0.2941,0.4593,0.5407,2,20.0,1.0,1.0821,21.6414,1461.23,1487.48
2011-10-02,2011,4,GB,DEN,49,23,0,0,7,7,40.0,1554.0,1484.88,1594.0,1484.88,0.6521,0.8378,0.7171,0.2829,26,20.0,1.0,3.1401,62.8017,1571.77,1467.11
2011-10-02,2011,4,OAK,NE,19,31,0,0,7,7,40.0,1529.56,1529.36,1569.56,1529.36,0.5576,0.2949,0.4657,0.5343,12,20.0,1.0,2.5189,50.3784,1506.1,1552.82
2011-10-02,2011,4,SD,MIA,26,16,0,0,7,7,40.0,1501.83,1448.06,1541.83,1448.06,0.6318,0.7354,0.668,0.332,10,20.0,1.0,2.2999,45.9974,1517.1,1432.79
2011-10-02,2011,4,BAL,NYJ,34,17,0,0,7,7,40.0,1529.01,1510.71,1569.01,1510.71,0.5831,0.6882,0.6199,0.3801,17,20.0,1.0,2.8157,56.315,1550.42,1489.3
2011-10-03,2011,4,TB,IND,24,17,0,0,8,8,40.0,1507.07,1442.88,1572.07,1467.88,0.6456,0.8134,0.7043,0.2957,7,20.0,1.0,1.9854,39.7083,1518.81,1431.14
2011-10-09,2011,5,BUF,PHI,31,24,0,0,7,7,40.0,1550.98,1469.23,1590.98,1469.23,0.6684,0.4019,0.5751,0.4249,7,20.0,1.0,1.9704,39.4079,1567.73,1452.49
2011-10-09,2011,5,CAR,NO,27,30,0,0,7,7,40.0,1472.35,1546.47,1512.35,1546.47,0.4511,0.2773,0.3903,0.6097,3,20.0,1.0,1.3651,27.3024,1461.69,1557.12
2011-10-09,2011,5,HOU,OAK,20,25,0,0,7,7,40.0,1542.39,1506.1,1582.39,1506.1,0.6081,0.6713,0.6302,0.3698,5,20.0,1.0,1.7317,34.6341,1520.57,1527.93
